customer_id,state,total_revenue,frequency,recency_days
63c87c47825c57a0d05099f814831e9e,SP,54.44,1,2694
98d8fb04ea8af6ab860458818ad53bd3,RJ,54.33,1,2664
082ad395df0ed72a64f71b70fffafd5b,PR,54.33,1,2722
d26415dbe622ef8eaf44c3c6e92ce1a7,RJ,54.32,1,2662
223a9aa3954976590fb34edd7ad9ef63,SP,54.31,1,2675
6561ef6306e6369b42177e51ddcc35ef,BA,54.18,1,2673
2ebd763628be3025a1a9804ee59e2f3c,SC,54.13,1,2730
a4084e7c34e378d0b7e211622e8b8b0c,GO,54.05,1,2703
68fee6738238719fc44935a11806101e,SP,54.0,1,2713
41fbcc1bcfd329a4b7db089c78cc65c2,SP,53.95,1,2715
1d6db6bde1eb5d91ce0063247e6d6303,SP,53.9,1,2709
e39f3f1c4dc9767ecf8cd186a683101c,SP,53.78,1,2737
2ea5497e8e41a40f8f2c710b627ce684,SP,53.760000000000005,1,2703
fe4d81bc8da17c071449cce9d7023407,SP,53.76,1,2703
cff98faaf25e1b86a439bf5556e6cae9,BA,53.73,1,2656
0a2780550bc97fe90afaf6fd59934a86,RS,53.72,1,2660
43a23ff9af0c723b18ab653e17fb4e14,SP,53.7,1,2727
30a92a7d3358014c9dfda6b5ec841b44,RJ,53.68,1,2663
47a7e021c968ec3abacc05c3dc44cfdd,BA,53.65,1,2693
40568f04c85dd2a9b73fd39069b89a6a,MG,53.62,1,2682
0c9dbbe49e16d15678ee755576e95a29,MG,53.61,1,2724
5476174c1792f07b6a7b766d0374d568,SP,53.56,1,2675
ec9f692bcf69b9345ff6815a3360a719,SP,53.55,1,2662
0c03776e54dca1457ed2ce839749eb4e,SP,53.54,1,2739
adaf22826d5921da0c7f050ca0015c4f,SP,53.52,1,2670
b98be2d53e952e3c5e284fdd41f6937e,PR,53.52,1,2709
02c14c4a48266b1cbb810a491954e97d,SP,53.44,1,2725
081ecee4228a97b36aa3b2cbd1bbc1ba,RJ,53.43,1,2673
c95a0627341232e6147a84f69c5ebc5f,RS,53.37,1,2678
ff0a44202beb5310644a0ea439973f4d,SP,53.37,1,2657
885e3244e80c203942ec9413d3710388,SP,53.37,1,2657
6ebe634952fda3dddb9c87839a3b024e,SP,53.37,1,2677
0449d1b1afc5212a6805aa3b6d84e049,SP,53.37,1,2674
3c77d8084d2a940ae106c3008590602c,SP,53.29,1,2738
416d7934b96e1c5d46b332d32ee0e356,MG,53.24,1,2687
6a22352981a6c0bf8ff901686137d1d2,SP,53.24,1,2705
6cd650d55491e2da73465ce4a420afde,PR,53.22,1,2742
16d5e579f5c682f592d57463ea890794,SP,53.16,1,2667
fcb7368648a1ce0396597912490f2b82,DF,53.05,1,2673
733ec8547bf0e1fca5ff8c6ab2a7a5c3,MG,52.94,1,2724
7957a6e03d999fe1c2ec39471bbbb09a,SP,52.93,1,2720
81e9bd827a271d51b86bd4f0099c652b,SP,52.93,1,2676
ea29ee5d9096bdd7f6021a9697e289d3,PI,52.92,1,2709
79d9271e1bd3984404a8b296a6de3c42,MA,52.92,1,2680
57f0e44aca47fb9bc86427aeb98f8496,SP,52.91,1,2700
2bba08cecced69b889a272c194f805bc,PR,52.9,1,2672
166edd23a0a1e9e5d30b2f5419cdcb05,SP,52.85,1,2684
0c5c8c5d9a4416010c6174ee6d8c59cb,SP,52.85,1,2659
daf60dffd5783e6927f3660ed83ecdd1,SP,52.85,1,2657
ac7fdccf1cc317b11daa5bca630c91f4,SP,52.84,1,2690
ce5785c5c7342c80817deac25c5245da,SP,52.84,1,2720
f7457bbcdd912ef2a847361418a2c67a,SP,52.84,1,2690
7148bdecc3846e13a3b9ae811cb7162d,SP,52.84,1,2655
1913c0c2889d3e40b654d65f9611b750,SP,52.84,1,2682
b6e218c0af67cbf5297ab3e4cacb3839,DF,52.83,1,2682
9c7d3c254f40add7cec20a8f59f8699a,SP,52.76,1,2651
b6f9e2a66841b8d8f49af9cf799e87d1,SP,52.71,1,2728
0b32a6f8b47212b01768e04e8a3bcbca,RJ,52.629999999999995,1,2705
dfbbddd720e537cd1947405a1a15b585,SP,52.61,1,2667
1bc53b9a233400e4060e63417a8b9cc6,SP,52.58,1,2702
b0bbb9250aed344a101ebb4afb3d0c10,SP,52.58,1,2684
20fed89d4e154ab11be0d7dc8550a980,SP,52.58,1,2723
9d2f95cf28f64788972d2cc5c5a15272,SP,52.57,1,2659
9a91e91d2641f317000c0b597097eb70,SP,52.57,1,2698
63517b90494b139470fa05260a7e04ec,SP,52.38,1,2710
c5745ce1928f3477f04286c793257d3c,SP,52.37,1,2675
58fb5805fb543260da75a8219ce4a285,SP,52.35,1,2705
f1206f8f523e838e4f0f6a2122a415e2,MG,52.3,1,2654
14690f3ebb623c4a7ee5c99c9476879a,SP,52.26,1,2665
a7cfe529b92621417a30967e7e4d5c3a,MG,52.25,1,2673
19653886ab528741bd0e988a41d643be,SC,52.24,1,2682
0fbe0a693526f98c8d703e94def41c78,RJ,52.24,1,2672
a110c68760b1054980e969c1c84c58ff,SP,52.21,1,2682
cf6abcbcfab5116f3123f0310101b7da,BA,52.13,1,2681
f3fddc133676aa10028545f367b319e3,BA,52.04,1,2726
b847a09bbbeb93c30e6702537242b8e0,GO,52.04,1,2675
5c1317356b2236bcfec017edfdcd16ae,MG,52.04,1,2661
454597de2c9100d65a4ce3a74ad8acfe,SP,51.93,1,2659
193e26ffef1e5ee3eb6d20a0b21bbc96,SP,51.93,1,2658
fb01441886c0f632a30c1573901cf46a,SP,51.92,1,2680
6624d864bf96345f43613d1872805351,SP,51.91,1,2724
af30cba70ea89e6a63b8db49eb9b7b1e,PR,51.82,1,2690
bd4afb694357fe76ab8dbe8bd8fba61d,DF,51.76,1,2691
994893639c0c67587064238a90e33a8e,SP,51.72,1,2658
