customer_id,state,total_revenue,frequency,recency_days
f48d464a0baaea338cb25f816991ab1f,ES,6922.21,1,2682
1afc82cd60e303ef09b4ef9837c9505c,SP,4513.32,1,2673
19b32919fa1198aefc0773ee2e46e693,PE,3792.59,1,2808
3c7c62e8d38fb18a33a45db8021f2d69,PB,3406.47,1,2701
f7622098214b4634b7fe7eee269b5426,MT,3242.84,1,2736
040d94f8ba8ca26014bd6f7e8a6e0c0d,SC,3184.34,1,2659
25dbbf0c477fd4ae0880aaffbb12e8b3,SC,3184.34,1,2669
26dcb450c4b5b390e79e6d5d0f2c6535,SC,3184.34,1,2683
6152fbfc8a92ee25fd821740bd33b089,BA,3122.72,1,2726
c03dfaf5db49d8583edbb5627f92058d,SP,3076.13,1,2661
a5c69c3bf293d341b6a56a4b7307c529,SC,2960.05,1,2811
ed583a2a1eaf0dedc33af816153e8b8c,PB,2844.96,1,2705
f2c743697f9b2ff2902df23a16582d80,SC,2713.36,1,2663
f08306b95370e8d5f0d97b71229284b6,PR,2713.36,1,2677
53e644c7c57416bdaf0409e656ee8b0a,SP,2607.09,1,2736
9c5d7103954595e173781530b10d02e4,MG,2590.61,1,2814
68f692d1f39843a16d9319a7306b6b10,SP,2457.44,1,2774
2b7ae7a532ff538ce88f6bfdd2cb564c,PR,2419.2,1,2670
d791834a0555c0062e98d735083f4373,MG,2404.72,1,2695
9125dbd39c45287dfab9207f3cb15075,PR,2389.78,1,2781
24348bd43207b8fa492c929ab6cb1fb9,RS,2360.42,1,2781
6f18119032437dd6fa1c7df272d2d9e6,PR,2333.97,1,2728
d1447849bd806efd6282988355588728,SP,2325.22,1,2718
9cf0a858f5f153406bc333860eb23e22,SP,2323.25,1,2660
6b66c3c14df21f07ea7f57fc8af6517f,SP,2322.32,1,2662
06e107f212576eccb2e2adc7781c9705,SP,2267.18,1,2695
10066d6eb46dff8e73177532e722e60a,PA,2252.66,1,2681
8cb5d5e180e4dbdffdc4af261b618790,SP,2241.64,1,2792
92a24fa199710ba33bab157e838a86e7,CE,2223.12,1,2726
244c28a20f4b7a3ea164364d7a3432af,GO,2220.32,1,2767
fcc823f0ae4f596e54cd461c145dfd5d,BA,2183.6,1,2735
6d7c040dec6d2f6da6a63929bdec436d,RJ,2158.57,1,2713
462bfc136787eae6609ca5890feb3e02,RJ,2153.35,1,2794
68d91c479bafcd184deee1cce5582243,RJ,2151.29,1,2725
3b34eb193a790f18c1952eca8a964987,MT,2124.78,1,2765
e07f0f4cab25170d8b2d28cf80a38370,MG,2115.05,1,2756
f1ae10afb8ffce973dc435056dd3634c,MG,2110.57,1,2787
f800529518f024fb68b8a716cddbbfe4,TO,2094.44,1,2792
77d697d535b401291fd2a9efe2c9544b,SP,2055.84,1,2752
04889e0130acf2e7b2de087d02994ce3,PR,2048.12,1,2789
cd1822306d5e43d356c576efdc0eadf1,MG,2045.47,1,2725
591056a6022efa0e68acb35c04aa2c2e,SP,2032.0,1,2665
7b7f18d5f94e3c25bd66ec35e87383f0,RJ,2024.31,1,2795
1d38e09bf3ba5793913255c5a736c6e6,SP,2022.02,1,2754
dfabe2a9f4e2fc9e248eda9e0d80a369,SP,1992.42,1,2725
fb7c663bd0931abefc7a84181a9e7f24,RS,1989.96,1,2791
6a37a9c7d62108c3bbd5397b3b0ccd57,SP,1963.14,1,2791
068830daf2867cadbfc655e6a413388e,SP,1951.95,1,2798
727ab4449f530b9af13f40fa8e528bff,PR,1950.2,1,2685
4d175c61c1054192238fbd35a5e4dcfe,SC,1936.99,1,2726
38fc30b75b381342c67d25e2f11ccec0,CE,1925.77,1,2734
78f9a490b37c9cd175cd731e24e9b598,ES,1924.03,1,2709
7cec2ad3ecf1b10ce543161225a13a97,DF,1916.08,1,2670
638be9d39246650868db07d10456527c,SP,1915.13,1,2757
0b873e99a8f0f2b3432d1678dc3fd2a0,RS,1902.55,1,2795
0ef4273145d74465c180b6a9fbb9799b,SC,1898.6100000000001,1,2659
2353f5b23c907409f668b09d1d2fb9e9,CE,1891.63,1,2754
86be5e5905f155c3f5df8928ee78cf54,SP,1891.07,1,2749
d057951b2e010930970d111b015bc37d,GO,1861.26,1,2684
f3f7e581618408da1e8d5ebe236082b3,RS,1841.75,1,2678
1e12754604af85397680cb28482f73a6,SP,1828.41,1,2744
674a31639c206a92e7077f033dcd56b7,ES,1814.29,1,2818
c1474a24d28e0702ff76d03b5fd3bbe6,SP,1783.44,1,2806
10342b679b1e6bca244ffe405d8b3034,RJ,1759.26,1,2694
17a124500c28c0202b563d221b84062b,PR,1730.87,1,2814
9f494ea8a1d67d1e6e22813311751679,SE,1729.98,1,2795
b0f06b1979dedd3f28f8f0d5e4ad08fb,SP,1702.35,1,2669
9a0554df88040ba929121aa2f66bff47,BA,1675.71,1,2771
f6a8aa90561b6aadf46587268654ff4f,RS,1672.08,1,2782
4f24e59afa7758f83c982b1186a14ccc,SP,1672.06,1,2810
c98bc4064c2da2e8f87a2476bc07a5b0,MG,1655.6,1,2672
606f7c772e826808d23dd8c1cb343fb3,SP,1645.82,1,2808
2131f859f33715756b10efb97d873a85,DF,1644.76,1,2697
89c46cb52627885f021d66d9af2b46fb,SP,1628.07,1,2750
a2ea4194defe74e061e09d5edae0f67f,MG,1589.57,1,2722
774a93f58af283167817a7a186680553,PA,1570.21,1,2730
73a6fd83d86ec00cea2c16a45be6a8a5,PR,1550.68,1,2796
e0e7ee625cb2646f1049f7602dde6d37,SP,1528.03,1,2733
3f0b493fe107e4453cc7c9e7a8f57f29,SP,1528.03,1,2734
3d4bc7f585bc0534e4a0c00c086721b2,RJ,1525.78,1,2812
7a40171d9866d44cdeb70537d2727fc6,MG,1522.99,1,2816
ca90771e164c2fb0236f757caa80e13a,RJ,1521.75,1,2657
c330f7967c92a086239c675991cb6aa6,AL,1518.55,1,2780
2bb90453c5b070eeacd965903f376375,BA,1501.45,1,2758
98ef9188ce9357bd77f60150a935c7fb,SP,1488.59,1,2678
e52b71f689001defd2ddf659c41e7324,SP,1478.48,1,2668
4433a42a21cf55f9f413f4063c244dd4,SP,1474.76,1,2671
f6417110d62f24e1b4cf5a09b62ae4be,RJ,1439.27,1,2771
60c3b5e9a49680687f57dec245ff4878,RS,1437.64,1,2735
e4bee874d6368c127e7ca2a6fd7545ff,SP,1435.97,1,2719
250dfa98c84cdde19347af0428388a8c,SP,1429.59,1,2814
978fa5a467a746e14b62c2cbab1a261a,SP,1427.58,1,2774
a46a646a753f6ff3ddca8e7532a6889b,SP,1423.21,1,2728
4a438a83f19e019e648366017858bad5,SP,1416.95,1,2699
e1e09210e58d30df8e147c5a53eeaaf0,SP,1415.66,1,2778
