customer_id,state,total_revenue,frequency,recency_days
d73f48447385ba4ec637815532802b94,SC,127.01,1,3035
7912cef0fe56d9bd9ac8b45baec145bb,RJ,158.71,1,3035
1be70cd84bb8fdc5c77a52054d6250f8,MG,56.83,1,3035
2826ed4f0eb787f543924575bbe8dfdd,SP,176.16,1,3035
e9c78e0ef5bf78d6719540b3b3df885e,PR,150.29,1,3035
c1622509d879cc1ff9c0e10c340a3fcc,RJ,167.13,1,3035
53f6dc92ef4059ea6cd863b0f69f0923,SP,164.06,1,3035
28b087b4cc65d6fcf8043e95f978de32,CE,327.28,1,3035
a48095953c2c52f5900151d001daa464,MG,77.57,1,3035
9725311a745485cdbc57eb469008bab3,GO,77.57,1,3035
27bffe21c1c14689c7a9fae1fe93d2bc,BA,273.12,1,3035
ab31ad74c93a01fd232c439ae612098e,SP,107.84,1,3035
7dd2e283f47deac853cf70f3b63c8d86,RJ,236.88,1,3035
80fea01f7df39bd74716fec615b69f97,SP,99.22,1,3035
d358b0b0d0d456e22212b8643729207a,SP,102.03,1,3035
ef7cc029996e1f2d164764e8b7888f71,PE,124.05,1,3035
76545fad2a6367925ea7877ca21d7374,RJ,137.18,1,3035
2b40c614f845a0ff9b821036f5371d27,RJ,105.29,1,3035
788c3086fc4d0f220fdf77bcb1b0780f,RS,75.65,1,3035
bf0005fd4c56f911e047c23806d5a3d8,RS,197.2,1,3035
8dc19ab48e501be6368547d40ab20b50,SP,132.02,1,3035
e1eb93f77c516900843a8b7827abe866,RJ,132.02,1,3035
4fdae31f8a602171e41215be582f60ca,RS,95.02,1,3035
5fbf764940fb75727525f6af71eef49d,SP,74.16,1,3035
94174226bc4e5918d7a2d7cc625f1a29,SP,73.34,1,3035
c623c44fee67e4877b7589d8016d1678,RN,223.57,1,3035
af550b25195546a8ed88b2b89b1d0fa3,SP,173.62,1,3035
b7f9c7a0b694d1e97d28d3406e994d1e,SP,69.33,1,3035
1d2ac5fe3c5d435969d1c325bc7c3885,PR,167.2,1,3035
b81903860cd300ddda44b87124a88002,PE,174.68,1,3035
87a588f4d6a77083c035a56a392b1f56,SP,326.78,1,3035
c9802360688432c3bdd2b2b29b3514d9,RJ,401.45,1,3035
7c6e199246ed624a0fe923028144eea8,DF,175.77,1,3035
08275aa40053e112fa7e680aa99534c6,RJ,242.72,1,3035
afd8a87f50245eae509882b78dfc038c,RJ,114.25,1,3035
a3eac38bfaffe2975cd0e424ec86a556,MG,163.77,1,3035
