,payment_installments,payment_value,aov,review_score,approval_days,total_items
payment_installments,1.0,0.3369347219901224,0.3184532319101779,-0.025375482739181457,-0.157341100883915,0.06750922238710402
payment_value,0.3369347219901224,1.0,0.9732283605252615,-0.044027384019703526,0.018802331281466175,0.1829745526299783
aov,0.3184532319101779,0.9732283605252615,1.0,-0.044397014178992396,0.021196124293340116,0.18288854776831834
review_score,-0.025375482739181457,-0.044027384019703526,-0.044397014178992396,1.0,-0.02379790017908251,-0.10980436319051044
approval_days,-0.157341100883915,0.018802331281466175,0.021196124293340116,-0.02379790017908251,1.0,0.027273895361854452
total_items,0.06750922238710402,0.1829745526299783,0.18288854776831834,-0.10980436319051044,0.027273895361854452,1.0
